,City,Price,Title,bedroom,ft
1609,Laconia,$1255,What you have been searching for is at Apple Ridge,2br,984ft2
1610,TheResidencesatSundial,$1580,Top floor (5th) 1 Bedroom now on notice!,1br,697ft2
1611,"108WMainStreet,Merrimac,MA",$1625,Coming Soon!! Luxury 55+ Active Adult Community-,1br,889ft2
1612,Lebanon,$1695,"Central Air Conditioning, Fitness Center, Dog Park, Storage",1br,697ft2
1613,Haverhill,$1350,beautiful one bedroom apartment completely remodeled!,1br,
1614,180WoodburyStreet,$1700,Bring Fido & Fluffy! We allow pets!,2br,1125ft2
1615,237AmorySt1L,$950,West Manchester FIRST FLOOR one bedroom,1br,950ft2
1616,Claremont,$1100,**COMING SOON TWO 2 BEDROOM UNITS***,2br,
1617,Durham,$850,/mo. Studio Apartment with loft. Easy walk to UNH Free Parking,,
1618,Newmarket,$2200,Short-Term Waterfront Home,1276ft2,
1619,"Bristol,NH",$1025,Brand New 2nd and 3rd Floor 2BR Units Avaliable,2br,980ft2
1620,lebanon,$975,Two bedroom Condo Renihan Meadows,2br,
1621,lebanon,$975,Two bedroom Condo Renihan Meadows,2br,
1622,Nashua,$1626,Live at Tara Heights! Large 1 Bedroom Coming Available Soon!,1br,921ft2
1623,"381ChestnutSt,Manchester,NH",$795,1 Bedroom Studio for Rent $795,1br,
1624,merrimack,$1375,"1ST Flr Renovated 2 bed, w/ Free WIFI, STORAGE, PARKING, more",2br,840ft2
1625,4CalawaCircle,$1580,Brand New Townhomes for rent! Beautiful open concept.,2br,1318ft2
1626,Swanzey,$1000,Lovely Studio Apartment.,875ft2,
1627,"20SentinelCt,Manchester,NH",$1239,Private Washer/Dryer in this Newer Non-Smoking 1 BR Apt!,1br,617ft2
1628,Laconia,$1255,Welcome Home to Apple Ridge in Laconia,2br,984ft2
1629,"Dover,NH",$1625,"~ Heat, hot water, electric and wifi Included",1br,835ft2
1630,Manchester,$1122,2bdrm Townhome w/ ALL utilities INCLUDED,2br,922ft2
1631,,$1450,"Manchester, Kennard Rd. Townhouse 3 Bedroom $1450.00 month",3br,1100ft2
1632,Dover,$1475,"Brand New Renovated Mill, Brick & Beam, Includes Heat|HW|AC|WiFi #3210",1br,696ft2
1633,"Nashua,NH",$1500,Change is In the Air!  Dog Friendly 2BR Available this Week!,750ft2,
1634,2AbbottStreet,$1280,Derry--Newly Renovated--Near Downtown,2br,650ft2
1635,DeerfieldNH,$1000,1 Bedroom apartment,1br,
1636,218AmorySt.,$1500,Large 3 BR apartment in West Manchester!,3br,1900ft2
1637,8Suncook,$1000,1 Bedroom Apt Concord NH,1br,700ft2
1638,"83MasonStBerlin,NH",$800,Large 3 bedroom Second Floor,3br,
1639,"1400FrontSt.,Manchester",$1425,"Regency Place, Premier 55+ Apartments",1br,750ft2
1640,"Antrim,NH",$950,New Apartments Coming Soon! Get on the list,1br,
1641,"22TrinityStClaremont,NH",$1050,Huge 2 Bedroom Ready Now,2br,
1642,145MainStClaremont,$850,Third Floor 2 Bedroom Ready Now,2br,
1643,97MainStBerlin,$595,Very Nice Downtown 1 Bedroom Ready Now,1br,
1644,59OldHackettHillRdManchesterNH,$1810,"Regency Heights, Exclusive 55+ Living",2br,1140ft2
1645,Manchester,$1145,Rural - Pet Friendly - December move - Call Today -,1br,600ft2
1646,"Portsmouth,NH",$1750,New Portsmouth Condo - 1152 sq feet,2br,1152ft2
1647,BelmontStreet,$1700,"Two-story, 2BR  Townhouse near Downtown",2br,1275ft2
1648,Lebanon,$1845,"Mountains, Skiing, Fireplace, Garage - Have it all -",2br,1020ft2
1649,"CassStreet,PortsmouthNH",$2000,2 Bedroom House for Rent,2br,950ft2
1650,SalemNH,$1190,v.nice well-situated studio apartment See Photos,,
1651,10FoxtailLnApt7,$1500,Goffstown Townhouse for Rent,2br,
1652,Manchester,$1635,#104 - 2 BR 1st floor Unit with bamboo throughout! Manchester Mill,2br,
1653,Nashua,$1550,"Heat, Hot Water Included in Rent; Exit 1, Rt 3",2br,975ft2
1654,southnashua,$1350,"2 BR, 1.5 Bath apt at Louisburg Square, Exit 1",2br,980ft2
1655,3CountryClubDrManchesterNH,$1875,Great River Views!  River's Edge 55+ Community,2br,1470ft2
1656,Swanzey,$1354,"Modern Fixtures, On Site Professional Mgmt, Walk In Closets",2br,1079ft2
1657,180Woodburystreet,$1700,Covered parking! keep your car snow free here at Carisbrooke!,2br,1125ft2
1658,"1850FrontStManchesterNH,Unit#34",$1850,Great Savings!!! Regency West 55+ Community,2br,1140ft2
1659,Manchester,$1785,#129 - Old meets new in this Manchester Mill Apartment!,2br,
1660,2cPleasantst.,$1000,Carriage House,1br,1000ft2
1661,Manchester,$1810,#207 - 2nd floor Manchester Mill West 2 BR Apartment!,2br,
1662,"Dover,NH",$2150,50 Pointe Place Apartment unit 202,2br,1054ft2
1663,Swanzey,$1255,"Schedule a Tour, Walk In Closets, Heat Included",2br,1018ft2
1664,ManchesterNH,$1350,2 Beds 1 Bath Apartment for Rent,2br,1400ft2
1665,"108WMainStreet,Merrimac,MA",$1849,Coming Soon!! Luxury 55+ Active Adult Community-,2br,1071ft2
1666,"Dover,NH",$2150,60 Pointe Place Apartment unit 110,2br,1186ft2
1667,Manchester,$1635,Warm Up with Our Hot Specials - #136,2br,870ft2
1668,Swanzey,$1309,"Perfect Location, Patio, Wall to Wall Carpet",2br,1067ft2
1669,Milford,$1039,1 Bedrooms and accepting applications!,,
1670,,$1806,"2 bedroom - Full-size washer and dryer in each home, Granite counterto",2br,949ft2
1671,,$1821,"2 bedroom - High-speed Internet access, Carports available, Mini blinds",2br,933ft2
1672,Nashua,$1795,You'll never be bored again with all these amenities! Lofts 34! #211,2br,1098ft2
1673,Swanzey,$1270,"Convenient Location, Wall to Wall Carpet, Hot Water Included",2br,1018ft2
1674,Rochester,$1695,Rochester 3 Bedroom Duplex $1695 plus utilities,3br,
1675,Nashua,$1750,"Host Thanksgiving at Lofts 34! Community room, game room, so much!#303",2br,1100ft2
1676,,$1649,"1 bedroom - Plank flooring, Granite countertops, 24-Hour fitness cente",1br,739ft2
1677,Manchester,$2600,🐶 Pet Friendly 🐱 and Fully Updated - #213,2br,1430ft2
1678,Nashua,$1795,"No more skip days, your gym is right downstairs! Lofts 34! #106",2br,1098ft2
1679,Laconia,$994,Call Today To Income Qualify for Our Waitlist,2br,973ft2
1680,174ConcordStManchesterNH,$700,2 Studios available heat and hot water included,,
1681,hampton,$2500,Oceanfront | Great Boars Head | Yearly Rental | Heat & HW Included,3br,1000ft2
1682,Manchester,$1785,Make Your Move Today! #115 Available Now.,2br,1012ft2
1683,Nashua,$1737,You Deserve The Best! Live at Tara Heights!,2br,1070ft2
1684,Manchester,$1000,ALL Utilities INCL $1000 - 2br -753 sq ft,2br,753ft2
1685,Manchester,$1122,** SPECIAL! $1122 / 922ft2 - 2bdrm Townhouse w/ ALL utilities INCLUDED,2br,922ft2
1686,Manchester,$1300,"1 bedroom, heat and hot water included, pet friendly!",1br,
1687,westmanchester,$1675,Large 1st floor 3bed in quiet area,3br,
1688,Pelham,$2400,2-3 bedroom lakefront home,,
1689,Nashua,$99,NASHUA! $99! It's Downtown! $99! It's Utilities Included! $99!,1br,
1690,rochester,$1250,3  bedroom apt,3br,
1691,ROCHESTER,$1500,Brook Farm Village Condo Rentals ( 2bd Townhouse ),2br,1250ft2
1692,SanfordMaine,$1100,large newly remodeled 2 bedroom  $1100,2br,
1693,"WinnisquamShore,TiltonNewHampshire",$1850,Lake Winnisquam (New Hampshire) 3 Bedroom,3br,1700ft2
1694,"WinnisquamShore,TiltonNewHampshire",$1850,Lake Winnisquam (New Hampshire) 3 Bedroom,3br,1700ft2
1695,Tilton,$2192,Overlooking Lake Winnisquam,3br,1700ft2
1696,"Durham,NH",$1000,Spacious and Beautiful Apartment for 2 Walking Distance to UNH,1br,
1697,03064,$1550,03064,2br,1000ft2
1698,"44BridgeSt.Hillsboro,N.H.",$1100,"Lrg 3 Bedroom - 44 Bridge St, Hillsboro",3br,1000ft2
1699,Laconia,$1100,HEAT& HOT WATER INCLUDED!,3br,
1700,Hampton,$1700,Ideal 2-bdrm - 137 High Street,2br,1200ft2
1701,Nashua,$1700,Large Victorian 2 or 3 bedroom 1st floor apartment with garage,3br,1500ft2
1702,"108WMainStreet,Merrimac,MA",$1849,Pre-Construcion Special! Regency Village,2br,1071ft2
1703,Manchester,$1850,"Regency West, Luxury 55+ Apartments",2br,1140ft2
1704,"108WMainStreet,Merrimac,MA",$1875,Pre-Construcion Special! Regency Village,2br,1069ft2
1705,Laconia,$1255,It's all about the location! Call Apple Ridge your new home!,2br,849ft2
1706,Nashua,$1600,Our gift to you!FREE RENT! With amenities to boot! 🎁 202,1br,
1707,Nashua,$1870,"Pssssst 👋  hey, over here... Lofts 34 FREE RENT!!!",2br,1098ft2
1708,Keene/Swanzey,$1295,"Happy residents, great Keene apartment, December rent-free!",2br,
1709,"Nashua,NH",$2300,📢 ATTENTION! Lofts 34 is now open!,2br,
1710,Adamsstreet,$650,House share 1 block from keene state college 4 bedrooms June 1 2019,4br,
1711,Nashua,$1870,Fall in LOVE with our Amenities! Lofts 34! 411,2br,1098ft2
1712,,$850,"3 floor townhouse, roommate wanted!",3br,1500ft2
1713,Lebanon,$1975,"Package Receiving, Laundry Service Pick Up and Delivery, Clubhouse",2br,999ft2
1714,180WoodburyStreet,$1700,Live in Luxury at Carisbrooke apartments! Call today!,2br,1125ft2
1715,"Manchester,NH",$1755,Two Full Baths in This Intown Manchester Loft at Mill #1,2br,1064ft2
1716,wakefield,$1800,Short term rental ~ In the White Mountains,2br,1050ft2
1717,,$1000,2 Bdrm,2br,
1718,134MammothRoad,$1200,2 Bedroom Available in Hooksett,2br,
1719,,$1806,"2 bedroom - Full-size washer and dryer in each home, Granite counterto",2br,949ft2
1720,,$1770,One Bedroom Apartment Homes!,1br,658ft2
1721,Hudson,$1975,"3 bedroom, single level ranch style, Birchcroft area",1800ft2,
1722,Laconia,$1195,Available December 1st,3br,1000ft2
1723,253WHancockSt,$895,AFFORDABLE 2BR,2br,
1724,Gilford,$1300,159 Mountain Drive,3br,
1725,Manchester,$1145,Rural Area - Southside Manor - Move in December -,1br,600ft2
1726,31AndrewStreet,$1350,2BR Newly renovated apartment available in North End of Manchester,2br,
1727,Laconia,$1255,Enjoy the morning sun on your porch -View Apple Ridge,2br,984ft2
1728,Plymouth,$3400,PSU Plymouth State University Student Rentals 2019/2020,,
1729,Manchester,$1785,Top Floor Apartment Home with River and City View. Mill West (313),2br,1100ft2
1730,Manchester,$1810,"Adorable, Historic, & Comfy 2 BR in Manchester's Mill West (207)",2br,1035ft2
1731,Manchester,$1635,2 BR 1st floor Unit with bamboo throughout! Manchester Mill (114),2br,911ft2
1732,Lebanon,$1790,"Dog Park, Public Transportation, Wheelchair Access, Fitness Center",1br,697ft2
1733,manchester,$1200,3 bedroom off st. parking,3br,1100ft2
1734,,$2226,"2 bedroom - Full-size washer and dryer in each home, Mini blinds",2br,1097ft2
1735,DerryNH,$1100,1 bdrm attached 2nd floor inlaw Apartment,1br,400ft2
1736,"Wolfeboro,NH",$1350,2 bdrm ranch 1-car garage $1350./mo,2br,900ft2
1737,Laconia,$1255,2 Bedroom Unit w/Walk In Closet at Apple Ridge,2br,984ft2
1738,,$1808,"2 bedroom - Pet friendly with some restrictions, Oversized garden tubs",2br,933ft2
1739,,$1649,"1 bedroom - Oversized garden tubs, Granite countertops, Carports avail",1br,739ft2
1740,,$2226,"2 bedroom- Balcony, Fireplace, Granite Countertops",2br,1097ft2
1741,Leenh,$1100,2 Bedroom 1 Bathroom apartments in Lee,2br,800ft2
1742,Keene/Swanzey,$1305,November Move-in= December Rent FREE!,2br,
1743,"Manchester,NH",$1915,Historic Mill ~ Intown Manchester's Lofts at Mill #1,2br,1107ft2
1744,"29CapronRd,Milford,NH",$1249,"🌅 A Smaller, Quieter Community: Eastern Trails!",2br,875ft2
1745,03833,$650,03833,1br,
1746,180WoodburyStreet,$1750,Keep warm and dry here at Carisbrooke apartments,2br,
1747,Laconia,$994,Income Qualify Today For Our Watilist,2br,973ft2
1748,WaterfordWay,$1454,2 bedroom Large Corner Apartment!,2br,1027ft2
1749,"Claremont,NH",$185,1 Bedroom Apt.,1br,600ft2
1750,Lebanon,$1695,"Clubhouse, Laundry Service Pick Up and Delivery, Package Receiving",1br,697ft2
1751,Claremont,$925,Apartment for rent,2br,
1752,1waterfordway,$1475,2 bedroom 2 bathroom Manchester,2br,981ft2
1753,"Nashua,NH",$1525,Gorgeous Two Bedroom Home w/ SS Appliances! $500 Off Move-In Special!,2br,1050ft2
1754,Concord,$650,Studio Apt in quiet spot,,
1755,Manchester,$1145,Call and fall for these 1 bedroom apartments - Pet Friendly -,1br,600ft2
1756,,$1900,"Newly Renovated Condo, 2br - 1100ft - (Portsmouth, NH)",2br,1100ft2
1757,"260MastRoadDurham,NH",$820,3 BEDROOM APARTMENT AVAILABLE FOR SPRING SEMESTER!,1br,
1758,AcworthNewHampshire,$1400,4 to 5 bedroom,5br,
1759,Laconia,$1255,Availability at Apple Ridge in Laconia- Call for details,2br,984ft2
1760,"DouglassSt.Keene,NH",$900,"Lovely, quiet one bedroom apt, walking distance to downtown",1br,
1761,180WoodburyStreet,$1610,24 hour maintenance! Come by Carisbrooke today!,2br,1125ft2
1762,Manchester,$1145,December move - 1 Bedroom - Off street parking -,1br,600ft2
1763,Lebanon,$1845,Enjoy the winter festivities - Garage & Fireplace -,2br,1020ft2
1764,Somersworth,$925,Perfect size studio!  HHW included!!  Don't miss out on this!,392ft2,
1765,Laconia,$1500,Home for rent at Lilac Valley Estates in Laconia,3br,
1766,72PalmStreet,$1300,Adorable first floor duplex,3br,1200ft2
1767,Manchester,$1145,Manchester - Rural Area - Pet Friendly - Southside Manor - December -,1br,600ft2
1768,Manchester,$1145,Shopping is near - No carpet - Shoveling done for you - December move,1br,600ft2
1769,"Concord,N.H.",$865,Concord studio with remodeled bath  $865.,1br,313ft2
1770,Manchester,$1145,Southside Manor ~ No maintenance or shoveling ~ Rural area ~,1br,
1771,"Lebanon,NH",$2125,Your New Home is at Prospect Hills,2br,1020ft2
1772,Seacoast,$850,For rent,1br,850ft2
1773,Lebanon,$2125,Quaint Living at Prospect Hills,2br,1020ft2
1774,Nashua,$1500,Start the New Year Off Right!   Smoke Free 2BR Available for January!,2br,750ft2
1775,"Concord,N.H.",$1070,Concord 2 Bedroom Third Floor Special  available.,2br,778ft2
1776,Nashua,$1626,Live at Tara Heights! Large 1 Bedroom Coming Available Soon!,1br,921ft2
1777,,$2175,3 BR 2Bath 2 miles from downtown Portsmouth,3br,1100ft2
1778,Lebanon,$1775,"Built In Microwave, Cable Ready, High Speed Internet, Storage",1br,697ft2
1779,"Concord,nh",$1165,"Concord, NH - 2 Bedroom Apartment at Alton Woods",2br,835ft2
1780,Manchester,$1635,Cozy Up In Your New Home! #104,2br,930ft2
1781,"184WashingtonStreet,Dover,NH",$1065,"$1065 - 1Bedroom- Dover,NH Renovated w/ On Site Parking",1br,
1782,Lebanon,$2125,Garage - Fireplace - 2 or 3 Bedrooms - Townhouse -,3br,1706ft2
1783,Keene,$750,2 Room Efficiency Apartment,,
1784,Manchester,$1785,#129 - Old meets new in this Manchester Mill Apartment!,2br,
1785,Keene,$725,Efficiency 2 Room Apartment,,
1786,Manchester,$1635,Private Entry To Your New Apartment - LL-11,2br,1100ft2
1787,"Keene,NH",$1400,3 Bedroom Apartment Available,3br,
1788,Manchester,$1785,#115 - MUST SEE - Manchester's Historic Mill West Apartments!,2br,
1789,"Keene,NH",$1000,3 Bedroom Apartment Available,3br,
1790,Manchester,$1635,#114 - Must See Manchester Mill Apartment! Reserve yours TODAY!,2br,
1791,ClaremontNH,$150,House Share / Room,1br,
1792,Manchester,$1000,SPECIAL!! 2 bedroom All Utilities Included $1000,2br,753ft2
1793,"760CentralAve,Dover,NH",$825,Close to Downtown Dover,1br,
1794,Manchester,$1300,"1 bedroom, heat and hot water included, pet friendly!",1br,
1795,Amesbury,$1700,2 bed 1 bath,,
1796,Laconia,$1249,Income Qualify Today For Our Waitlist,3br,1203ft2
1797,Manchester,$1360,Remodeled 2 bedroom in a great location! Heat and hot water included!,2br,
1798,Manchester,$1850,Find Your New Home *Before* The Holidays #311,2br,1035ft2
1799,,$1250,North End 2 bedroom apt,1000ft2,
1800,Nashua,$1737,You Deserve The Best! Live at Tara Heights!,2br,1070ft2
1801,,$1793,"2 bedroom - Adjustable track lighting, Carports available, Plank flooring",2br,949ft2
1802,Laconia,$1275,"New 2BR Apartment!! Including, ...",2br,1000ft2
1803,StraffordNH,$900,Beautiful 1 Bedroom open concept Log Cabin waterfront,1br,1000ft2
1804,"CanaanSt,rte4",$1150,"Canaan, NH 2 Bedroom house with $1150 month",2br,2520ft2
1805,OldLockerd,$3600,North Hampton,3br,2700ft2
1806,"14ThompsonStreet-Ashland,NH",$1200,Three Bedroom Apartment,3br,
1807,,$1495,nashu nh,3br,1100ft2
1808,AshlandNH,$895,1 Bedroom Cottage Apartment,1br,
1809,NASHUA,$1,1  BEDROOM,1br,
1810,Manchester,$1195,DON'T MISS IT - West Side Clean & Extra Large 2 Bedroom-2nd floor,2br,1100ft2
1811,28ChapelStreetPortsmouthNH,$3999,Downtown Single Family Home!,3br,1567ft2
1812,"ParkAve.Claremont,NH",$1100,3 Bedroom apartment,3br,933ft2
1813,Raymond,$1500,Beautiful 2br Townhouse Style,2br,1066ft2
1814,,$1950,"3 bedroom, 1 bath Bedford ranch",,
1815,"ParkAve.Claremont,NH",$1100,Claremont 3 bedroom apartment,3br,933ft2
1816,Nashua,$1800,2 Bed 2 Bath,2br,1218ft2
1817,Concord,$1250,Walking distance to White's Park and Main Street,3br,
1818,MarlboroughNH,$1275,Apartment for rent outside Keene,3br,1000ft2
1819,Laconia,$1200,3Bedroom 1Bath Condo,3br,1123ft2
1820,Nashua,$1000,"1 Bedroom Apartment For Rent $1,000 A Month",1br,
1821,Dovernh,$1300,Dover 3 bedroom,3br,
1822,HAMPTONBEACH,$350,WEEKLY WINTER RENTALS,2br,
1823,HamptonNH,$1500,YR ROUND Nice House Heat & HW Included Finished Basement Washer/Dryer,3br,
1824,Concord,$995,Heat 2 Br Ground Floor,2br,
1825,Concord,$895,West Concord Clean 1BR Heated,1br,
1826,MortonSt,$1350,CONCORD'S SOUTH END/ MULTI FLOOR PET FRIENDLY APARTMENT,2br,
1827,Nashua,$1795,Walk to Nashua's Downtown From Lofts 34! 329,2br,953ft2
1828,,$1300,House For Rent,2br,
1829,Lebanon,$1575,Two bedroom- 1-1/2 bathroom apt,2br,1200ft2
1830,Nashua,$1575,Start squirreling your money away! With 1 month FREE!  126,1br,737ft2
1831,Nashua,$1795,Why Wait until after the holidays with 1 Month Free Rent!Lofts 34!211,2br,1098ft2
1832,"Manchester,NH",$1395,BEAUTIFUL SPACIOUS NORTH END 3 BEDROOM FOR RENT,3br,1350ft2
1833,611BeaconSt,$1200,Beacon ST  ( near derryfirld CC) GREAT Area,2br,1210ft2
1834,Laconia,$1255,"Searching for a new home?  Look no further, you found Apple Ridge!",2br,984ft2
1835,Nashua,$1795,Remarkable Value. Unbeatable Location at Lofts 34!,2br,1098ft2
1836,TheResidencesatSundial,$1495,Floor to ceiling windows in this gorgeous 1 bedroom!,1br,735ft2
1837,Dover,$1499,$500 Off Move In Costs! - Close to Downtown,2br,
1838,Dover,$1519,"$500 Off Move In! All Renovated, Corner Two Bed!",2br,
1839,Nashua,$1625,Big & Bright Luxury in a Historic Location at Pet Friendly Lofts 34!,1br,947ft2
1840,"Gilford,NH",$1700,3 BR home heated unfurnished,4br,1900ft2
1841,Manchester,$1145,Treat yourself to a new apartment for the Holidays - 1 bedroom,1br,600ft2
1842,Manchester,$1145,~ Walk to get your coffee in the morning ~ Close to shopping ~,1br,
1843,Keene,$1295,Frost on the pumpkins - time to settle into your new home!,1br,
1844,Manchester,$1145,Walk your pet ~ Picnic under the pines ~ Renovated ~ Rural Area ~,1br,
1845,Manchester,$1145,Your New Home Awaits You at Southside Manor!,1br,
1846,"Lebanon,NH",$2125,"Granite, Fireplace, Garage 3 Br 2.5 Ba in Lebanon!",3br,1706ft2
1847,"Laconia,NH",$2175,Charm Up Your Life at Prospect Hills.,2br,1020ft2
1848,Laconia,$1255,Apple Ridge in Laconia has a 2 Bedroom Available!!! Call Today!!!,2br,984ft2
1849,59OldHackettHillRdManchesterNH,$1810,Spacious Two Bedroom Apartment Coming Soon!!,2br,1140ft2
1850,campton,$1200,Brand New Mobile Home,2br,896ft2
1851,Claremont,$1200,**BRAND NEW 3 BEDROOM WITH LAUNDRY**,3br,
1852,Manchester,$1635,A New Wave of Living.  Mill West Lofts,2br,930ft2
1853,"Nashua,NH",$1450,Your New Home Awaits! Smoke-Free 1 bedroom! Call NOW!,,
1854,Manchester,$1785,Complete Modern Living. Mill West Lofts Unit 115,2br,1012ft2
1855,1850FrontStManchesterNH,$1850,"Regency West, Luxury 55+ Apartments",2br,1140ft2
1856,SandownorShapleigh,$1213,Dunbarton Great Schools 3 bedroom 1.5 bath meticulous stainless applia,5br,1849ft2
1857,ManchesterNH,$1421,$1421,2br,985ft2
1858,Manchester,$1635,Cool Apartments. Hot Location. Mill West Lofts Unit 104,2br,930ft2
1859,Manchester,$1785,"Head-turning Style, Extraordinary Location at Lofts of Mill West",2br,1035ft2
1860,"108WMainStreet,Merrimac,MA",$1849,"Luxury 55+ Active Adult Community- Coming Soon to Merrimac, MA",2br,1071ft2
1861,Laconia,$950,2 BEDROOM APARTMENT,2br,1000ft2
1862,3CountryClubDrManchesterNH,$1875,Rivers Edge Condos in Manchester! Luxury 55+ Community,2br,1470ft2
1863,12EppingStreet#3,$1295,First Floor!!  2 Bedroom Near Town Center,2br,1000ft2
1864,Claremont,$1100,**BRAND NEW 2-3 BEDROOM APARTMENT***,2br,
1865,KitteryME,$1475,Relisted:: *REDUCED RENT* Heat/Elec included -Renovated 2BR in Kittery,2br,900ft2
1866,Nashua,$3200,Luxury All Around at Lofts 34! #426,4br,2342ft2
1867,TheResidencesatSundial,$1495,1 Bedroom 1 Bathroom 735 sqft. coming available!,1br,735ft2
1868,Manchester,$1635,In a Pickle Apartment Hunting? Mill West Has a Great *Dill* For You!,2br,911ft2
1869,EliotMaine,$1500,Two bedroom ranch,2br,
1870,56NewRochesterRoad,$2500,Water View- Pets Welcome! Townhouse for Rent. Available NOW,3br,
1871,Laconia,$994,Call Today To Income Qualify for Our Waitlist,2br,973ft2
1872,Laconia,$1255,You Pick your Perfect Apartment @ Apple Ridge-Wooded or Mountain View?,2br,984ft2
1873,Nashua,$1945,Save Money During the Holidays with 1 Month Free at Lofts 34!#432,2br,1211ft2
1874,Manchester,$1300,"1 bedroom, heat and hot water included, pet friendly!",1br,
1875,PembrokeNH,$2100,Beautiful Recently Renovated Duplex With Garage,2br,1430ft2
1876,Manchester,$1360,Remodeled 2 bedroom in a great location! Heat and hot water included!,2br,
1877,Manchester,$950,1 Bedroom Heat/HW included,1br,
1878,"EastRochester,NH",$1450,3 Bedroom House,3br,
1879,Lebanon,$1845,2 or 3 Bedroom Townhome available this month - Fireplace & Garage,2br,1020ft2
1880,Manchester,$1145,Search no further for a 1 bedroom to move to this month -,1br,600ft2
1881,Manchester,$1270,"1 bedroom, heat and hot water included, pet friendly!",1br,
1882,Westside,$825,"1 bedroom, 1st floor",,
1883,03064,$1550,03064,2br,1000ft2
1884,Dover,$1295,/37 First St  2 bedroom located downtown with view of river,2br,
1885,downtowndover,$1095,166 Central Ave  1 bedroom loft close to downtown,1br,
1886,Portsmouth,$1695,/438 State St 2 bedroom located downtown Portsmouth,2br,
1887,downtowndover,$1495,/93 Washington  Must See 2 bedroom in Dover's lower square,2br,
1888,"Concord,N.H.",$1070,Concord 2 Bedroom Special Third Floor available soon.,2br,778ft2
1889,"Concord,N.H.",$1155,Concord 2 Bedroom executive coming up November .,2br,778ft2
1890,"Concord,N.H.",$865,Concord studio bathroom completely remodeled   $865.,1br,313ft2
1891,"Concord,N.H.",$865,Concord studio bathroom completely remodeled   $865.,1br,313ft2
1892,"108WMainStreet,Merrimac,MA",$1849,"Luxury 55+ Active Adult Community- Coming Soon to Merrimac, MA",2br,1071ft2
1893,Manchester,$1360,Remodeled 2 bedroom in a great location! Heat and hot water included!,2br,
1894,"Ashland,NH",$675,1br apartment for rent,1br,500ft2
1895,Nashua,$2850,Townhouse style apartment living! River view! Lofts 34! #429,3br,1799ft2
1896,,$1380,"1 Bedroom, 1 Bathroom Apartment For Rent in Hooksett",1br,649ft2
1897,,$1370,"1 Bedroom, 1 Bathroom Apartment For Rent in Hooksett",1br,649ft2
1898,Keene/Swanzey,$1325,Come settle in with us before winter!,2br,
1899,,$1380,"1 Bedroom, 1 Bathroom Apartment For Rent in Hooksett",1br,649ft2
1900,Lebanon,$1940,"Built In Microwave, Recycling, Spacious Closets, Storage, Clubhouse",2br,1000ft2
1901,Rochester,$850,Rochester 1BR $850,,
1902,Nashua,$1870,Top floor! Fireplace! Full size washer and dryer! Lofts 34! #408,2br,1098ft2
1903,Nashua,$2350,Monday blues are a thing of the past! Come find fun at Lofts 34! #333,3br,1534ft2
1904,Laconia,$1249,Call Today To Income Qualify for Our Waitlist,3br,1203ft2
1905,Manchester,$1145,Fall into a renovated 1 bedroom apartment - Call today -,1br,600ft2
1906,Lebanon,$2125,"Amazing 3 bedroom, 2.5 bathroom Townhouse - Garage",3br,1706ft2
1907,"8WalnutStreetManchester,NH",$1450,Single Family House for rent in Manchester,3br,
1908,"Rye,Nh",$1950,Gorgeous estate-like apartment,1br,1200ft2
1909,"Northwood,NH",$1900,FOR RENT - COMPLETELY RENOVATED UNIT ($1900),3br,1638ft2
1910,"Northwood,NH",$1800,FOR RENT - COMPLETELY RENOVATED UNIT ($1800),2br,1444ft2
1911,ChesterNH,$1800,Chester,3br,
1912,Nashua,$1000,"1 Bedroom Apartment For Rent $1,000 A Month",1br,
1913,Lebanon,$1765,"Central Air Conditioning, Package Receiving, Bike Racks, Free Weights",1br,697ft2
1914,562B,$795,"2 BR, 4 Person Apartment Available 2019-2020!! DAVIS COURT- UNH",2br,
1915,21MadburyRoad,$955,Reserve your space @ Madbury Commons 2019-2020 TODAY!,4br,
1916,17MadburyRoad,$985,"MADBURY COMMONS 4 BR, 4 Person Apartment- 2019-2020",4br,
1917,581A,$875,"2 BR, 2 Person Apartment Available 2019-2020",2br,
1918,5DennisonRoadS1,$795,"1 BR, 2 Person Townhouse AVAILABLE for Fall 2019- Dennison Road!",1br,
1919,Durham,$955,"5 BR, 6 Person Apt. @ Madbury Commons- Downtown UNH",5br,
1920,Durham,$955,"5 BR, 6 Person Apt. @ Madbury Commons- Downtown UNH",5br,
1921,5DennisonRoad,$795,"2 BR, 4 person Townhouse at UNH Available 2019-2020",2br,
1922,Durham,$955,N207 Madbury Commons Available 2019-2020!,3br,
1923,Durham,$1100,LAST 6 PERSON at Madbury Commons 2019-2020!!!,6br,
1924,21MadburyRoad,$995,MADBURY COMMONS 2019-2020! Reserve TODAY!,4br,
1925,AllenstownNH,$1350,Great 2 bed 1.5 bath available with garage space $1350/month,2br,1050ft2
1926,Portsmouth,$1700,Waterview South End House,1br,600ft2
1927,,$1545,Spacious Studio Apartment Homes in Brand New Community,,
1928,,$1808,"2 bedroom - Granite countertops, Oversized garden tubs, Carports available",2br,933ft2
1929,180MainSt,$650,Winter Rentals near Loon Mountain,1br,
1930,Derry,$1325,"TAKEN: Large condo, HT/HW Included, pool, tennis, excellent condition",2br,
1931,,$1649,"1 bedroom - Full-size washer and dryer in each home, Granite counterto",1br,739ft2
1932,Nashua,$1375,Top Floor Two Bed w/a View!,2br,1050ft2
